Attracts,Bloom Description,Bloom Time,Common Name,Culture,Family,Flower,Formal Name,Fruit,Garden Uses,Height,Invasive,Leaf,Maintenance,Native Range,Noteworthy Characteristics,Other,Problems,Spread,Suggested Use,Sun,Tolerate,Type,Water,Zone
 Birds, Orangeyellow, July to August, trumpetcreeper,NA, Bignoniaceae, Showy,Campsis radicans f flava, Showy Edible,NA, 2500 to 4000 feet, , Fragrant Evergreen, High, Southeastern United States,NA, Winter Interest,NA, 500 to 1000 feet, Naturalize, Full sun to part shade, Deer Drought Clay Soil, Vine, Medium, 4 to 9
 Birds, White, April to May, large fothergilla,NA, Hamamelidaceae, Showy Fragrant,Fothergilla major Red Licorice, Showy Edible,NA, 600 to 1000 feet, , Good Fall, Low, Southeastern United States,NA, Winter Interest,NA, 500 to 900 feet, Hedge, Full sun to part shade, Deer Drought Clay Soil, Deciduous shrub, Medium, 4 to 8
 Birds, Greenishwhite, May to June, Kentucky coffee tree,NA, Fabaceae, Showy Fragrant,Gymnocladus dioica, Showy,NA, 6000 to 8000 feet, , Good Fall, Low, Central and eastern United States Ontario and Quebec Canada,NA, Winter Interest,NA, 4000 to 5500 feet, Shade Tree Rain Garden, Full sun, Drought Air Pollution, Tree, Medium, 3 to 8
 Birds, Redorange, June to July, oriental poppy,NA, Papaveraceae, Showy,Papaver orientale Turkenlouis, Showy,NA, 200 to 300 feet, , Good Fall, Medium, Central and eastern United States Ontario and Quebec Canada,NA, Winter Interest,NA, 150 to 200 feet, Shade Tree Rain Garden, Full sun, Deer, Herbaceous perennial, Medium, 3 to 7
 Birds, Yellowishorange with red throat, July to August, trumpetcreeper,NA, Bignoniaceae, Showy,Campsis radicans Indian Summer, Showy,NA, 1200 to 1500 feet, , Good Fall, High, Central and eastern United States Ontario and Quebec Canada,NA, Winter Interest,NA, 300 to 500 feet, Naturalize, Full sun to part shade, Deer Drought Clay Soil, Vine, Medium, 4 to 9
 Butterflies, Raspberry pink, July to September, giant hyssop,NA, Lamiaceae, Showy Fragrant,Agastache Raspberry Summer, Showy,NA, 200 to 250 feet, , Fragrant, Medium, Central and eastern United States Ontario and Quebec Canada,NA, Winter Interest,NA, 100 to 150 feet, Annual, Full sun, Deer, Herbaceous perennial, Medium, 6 to 9
 Butterflies, Rosepurple, June to September, betony,NA, Lamiaceae, Showy,Stachys maxima, Showy,NA, 075 to 150 feet, , Fragrant, Low, Central and eastern United States Ontario and Quebec Canada,NA, Winter Interest,NA, 075 to 150 feet, Annual, Full sun, Deer Black Walnut, Herbaceous perennial, Medium, 4 to 8
 Birds Butterflies, Redgreen, May to June, gooseberry,NA, Grossulariaceae, Showy,Ribes Pixwell, Showy Edible,NA, 300 to 400 feet, , Fragrant, Medium, Central and eastern United States Ontario and Quebec Canada,NA, Thorns,NA, 300 to 400 feet, Annual, Full sun to part shade, Rabbit, Fruit, Medium, 4 to 6
 Hummingbirds Butterflies, Pale yellow double, May, deciduous azalea,NA, Ericaceae, Showy Fragrant,Rhododendron Narcissiflorum, Showy Edible,NA, 400 to 600 feet, , Fragrant, Medium, Central and eastern United States Ontario and Quebec Canada,NA, Thorns,NA, 400 to 600 feet, Hedge, Part shade, Rabbit, Deciduous shrub, Medium, 5 to 8
 Birds Butterflies, White, May, highbush blueberry,NA, Ericaceae, Showy,Vaccinium corymbosum Ivanhoe, Showy Edible,NA, 600 to 800 feet, , Good Fall, Medium, Central and eastern United States Ontario and Quebec Canada,NA, Thorns,NA, 600 to 800 feet, Hedge, Full sun to part shade, Rabbit, Fruit, Medium to wet, 5 to 8
 Birds Butterflies, Yellow, May to June, rock rose,NA, Cistaceae, Showy,Helianthemum nummularium subsp grandiflorum, Showy Edible,NA, 050 to 100 feet, , Good Fall, Medium, Central and southeastern Europe,NA, Thorns,NA, 100 to 300 feet, Ground Cover Naturalize, Full sun, Drought, Herbaceous perennial, Dry, 6 to 8
 Birds Butterflies, White, May to July, pink,NA, Caryophyllaceae, Showy Fragrant Good Cut,Dianthus plumarius Itsaul White, Showy Edible,NA, 050 to 075 feet, , Good Fall, Low, Central and southeastern Europe,NA, Thorns,NA, 100 to 150 feet, Ground Cover Naturalize, Full sun, Deer, Herbaceous perennial, Medium, 3 to 9
 Butterflies, Mauvewine blend with lemonlime throat, June to July, daylily,NA, Asphodelaceae, Showy,Hemerocallis Prince of Venice, Showy Edible,NA, 200 to 250 feet, , Good Fall, Low, Central and southeastern Europe,NA, Thorns,NA, 150 to 200 feet, Ground Cover Naturalize, Full sun to part shade, Rabbit Erosion Air Pollution, Herbaceous perennial, Medium, 3 to 9
 Butterflies, Reddishpink, April to May, thrift,NA, Plumbaginaceae, Showy,Armeria maritima Splendens, Showy Edible,NA, 050 to 100 feet, , Good Fall, Medium, Central and southeastern Europe,NA, Thorns,NA, 050 to 100 feet, Ground Cover Naturalize, Full sun, Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry, 4 to 8
 Butterflies, White red pink yellow blue purple or bicolor, May to July, lupine,NA, Fabaceae, Showy,Lupinus  hybrida, Showy Edible,NA, 300 to 400 feet, , Good Fall, Medium, Central and southeastern Europe,NA, Thorns,NA, 100 to 150 feet, Annual, Full sun, Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Medium, 4 to 8
 Butterflies, White, July to August, great globe thistle,NA, Asteraceae, Showy Good Dried,Echinops sphaerocephalus Arctic Glow, Showy Edible,NA, 250 to 300 feet, , Good Fall, Low, Central and southeastern Europe,NA, Thorns,NA, 075 to 150 feet, Annual, Full sun, Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 10
 Butterflies, White to pale blue, June to August, Culvers root,NA, Plantaginaceae, Showy,Veronicastrum virginicum, Showy Edible,NA, 400 to 700 feet, , Good Fall, Low, Northeastern North America,NA, Thorns,NA, 200 to 400 feet, Rain Garden, Full sun, Wet Soil, Herbaceous perennial, Medium to wet, 3 to 8
 Butterflies, Greenishyellow, March to April, Oriental spicebush,NA, Lauraceae, Showy,Lindera angustifolia, Showy,NA, 600 to 800 feet, , Colorful Fragrant Good Fall, Low, China,NA, Winter Interest,NA, 300 to 500 feet, Rain Garden, Full sun to part shade, Wet Soil, Deciduous shrub, Medium, 6 to 8
 Butterflies, Blue, Seasonal bloomer, rosemary,NA, Lamiaceae, Showy,Salvia rosmarinus Joyce DeBaggio, Showy,NA, 300 to 500 feet, , Fragrant Evergreen, Medium, China,NA, Winter Interest,NA, 300 to 500 feet, Hedge Herb, Full sun, Deer Drought, Broadleaf evergreen, Dry to medium, 8 to 10
 Butterflies, Purplishgreen, June to September, pennywort,NA, Araliaceae, Insignificant,Hydrocotyle vulgaris, Showy,NA, 025 to 050 feet, , Fragrant Evergreen, Low, Northern Africa Europe,NA, Winter Interest,NA, 100 to 2000 feet, Ground Cover Naturalize Rain Garden, Full sun to part shade, Heavy Shade Wet Soil, Herbaceous perennial, Medium to wet, 6 to 10
 Butterflies, Pink and Creamy White, June to July, bears breeches,NA, Acanthaceae, Showy Good Cut,Acanthus mollis Tasmanian Angel, Showy,NA, 300 to 500 feet, , Colorful, Medium, Northern Africa Europe,NA, Thorns,NA, 300 to 400 feet, Ground Cover Naturalize Rain Garden, Full sun to part shade, Deer, Herbaceous perennial, Medium, 7 to 10
 Butterflies, White to purple, Seasonal bloomer, zebra plant,NA, Marantaceae, Showy,Calathea zebrina, Showy,NA, 100 to 300 feet, , Colorful Evergreen, Medium, Southeastern Brazil,NA, Winter Interest,NA, 100 to 200 feet, Ground Cover Naturalize Rain Garden, Part shade to full shade, Deer, Herbaceous perennial, Medium, 11 to 12
 Birds Butterflies, White, April, crabapple,NA, Rosaceae, Showy,Malus Callaway, Showy Edible,NA, 1500 to 2500 feet, , Colorful Evergreen, Low, Southeastern Brazil,NA, Winter Interest,NA, 1200 to 2000 feet, Flowering Tree, Full sun, Air Pollution, Tree, Medium, 5 to 8
 Birds Butterflies, White, April to May, blackberry,NA, Rosaceae, Showy,Rubus Navaho, Showy Edible,NA, 400 to 500 feet, , Colorful Evergreen, Medium, Southeastern Brazil,NA, Winter Interest,NA, 400 to 500 feet, Flowering Tree, Full sun to part shade, Air Pollution, Fruit, Medium, 6 to 8
 Birds Butterflies, Nonflowering, Nonflowering, American arborvitae,NA, Cupressaceae, Showy,Thuja occidentalis Bobozam MR BOWLING BALL, Showy Edible,NA, 200 to 300 feet, , Fragrant Evergreen, Low, Southeastern Brazil,NA, Winter Interest,NA, 200 to 300 feet, Flowering Tree, Full sun to part shade, Clay Soil Black Walnut Air Pollution, Needled evergreen, Medium, 3 to 7
 Birds Butterflies, White, June to July, coral bells,NA, Saxifragaceae, Showy,Heuchera Green Spice, Showy Edible,NA, 150 to 250 feet, , Colorful, Medium, Southeastern Brazil,NA, Winter Interest,NA, 100 to 150 feet, Flowering Tree, Full sun to part shade, Clay Soil Black Walnut Air Pollution, Herbaceous perennial, Medium, 4 to 9
 Hummingbirds Butterflies, Pale pink, June, beardtongue,NA, Plantaginaceae, Showy,Penstemon Welsh Dawn, Showy Edible,NA, 150 to 300 feet, , Colorful, Medium, Southeastern Brazil,NA, Winter Interest,NA, 100 to 200 feet, Flowering Tree, Full sun, Deer, Herbaceous perennial, Dry to medium, 4 to 8
 Hummingbirds Butterflies, White to blue, June to July, willow bell,NA, Campanulaceae, Showy,Campanula persicifolia, Showy Edible,NA, 150 to 300 feet, , Colorful, Low, Europe northern Africa northern and western Asia,NA, Winter Interest,NA, 100 to 150 feet, Naturalize, Full sun to part shade, Deer, Herbaceous perennial, Medium, 3 to 7
 Hummingbirds Butterflies, Purple or white, April, Dutch crocus,NA, Iridaceae, Showy,Crocus vernus, Showy Edible,NA, 025 to 050 feet, , Colorful, Low, Eastern Europe western Russia,NA, Winter Interest,NA, 025 to 050 feet, Naturalize, Full sun to part shade, Deer Clay Soil Black Walnut, Bulb, Medium, 3 to 8
 Hummingbirds Butterflies, White, June to July, coral bells,NA, Saxifragaceae, Showy,Heuchera Encore, Showy Edible,NA, 075 to 150 feet, , Colorful, Medium, Eastern Europe western Russia,NA, Winter Interest,NA, 075 to 100 feet, Naturalize, Full sun to part shade, Deer Clay Soil Black Walnut, Herbaceous perennial, Medium, 4 to 9
 Hummingbirds Butterflies, White, Flowers not showy, tat soi,NA, Brassicaceae, Flowers not showy,Brassica rapa var rosularis, Showy Edible,NA, 050 to 100 feet, , Colorful, Medium, Eastern Europe western Russia,NA, Winter Interest,NA, 100 to 150 feet, Annual Vegetable, Full sun to part shade, Deer Clay Soil Black Walnut, Annual, Medium, 2 to 11
 Hummingbirds Butterflies, Reddish, August, Chinese elm,NA, Ulmaceae, Insignificant,Ulmus parvifolia Seiju, Showy Edible,NA, 200 to 1000 feet, , Colorful, Low, Eastern Europe western Russia,NA, Winter Interest,NA, 200 to 1000 feet, Annual Vegetable, Full sun, Drought Clay Soil Air Pollution, Tree, Medium, 4 to 9
 Butterflies, Yellow, July to September, blackeyed Susan,NA, Asteraceae, Showy Good Cut Good Dried,Rudbeckia fulgida Blovi VIETTES LITTLE SUZY, Showy Edible,NA, 100 to 150 feet, , Colorful, Low, Eastern Europe western Russia,NA, Winter Interest,NA, 075 to 100 feet, Naturalize Rain Garden, Full sun, Deer Drought Clay Soil Dry Soil ShallowRocky Soil Air Pollution, Herbaceous perennial, Dry to medium, 3 to 9
 Butterflies, Yellow, June to August, orange stonecrop,NA, Crassulaceae, Showy,Sedum kamtschaticum var floriferum Weihenstephaner Gold, Showy Edible,NA, 025 to 050 feet, , Colorful, Low, Eastern Europe western Russia,NA, Winter Interest,NA, 025 to 100 feet, Ground Cover Naturalize, Full sun, Rabbit Deer Drought Erosion Dry Soil ShallowRocky Soil Air Pollution, Herbaceous perennial, Dry to medium, 3 to 8
 Butterflies, Yellow, Nonflowering, cloud grass,NA, Poaceae, Showy,Agrostis palustris Pennlinks, Showy Edible,NA, 050 to 050 feet, , Colorful, High, Eastern Europe western Russia,NA, Winter Interest,NA, 050 to 050 feet, Ground Cover, Full sun, Drought, Turfgrass, Medium, 3 to 5
 Hummingbirds Butterflies, White or pink, April to May, pinxterbloom azalea,NA, Ericaceae, Showy Fragrant,Rhododendron periclymenoides, Showy Edible,NA, 300 to 600 feet, , Colorful, Low, Eastern United States,NA, Winter Interest,NA, 400 to 700 feet, Hedge, Full sun to part shade, Rabbit, Deciduous shrub, Medium, 4 to 9
 Hummingbirds Butterflies, White, September to October, eryngo,NA, Apiaceae, Showy,Eryngium aquaticum, Showy Edible,NA, 300 to 400 feet, , Colorful, Low, Eastern North America,NA, Winter Interest,NA, 100 to 300 feet, Water Plant, Full sun to part shade, Drought Dry Soil, Herbaceous perennial, Water Plant, 6 to 8
 Hummingbirds, Light purple, August to September, hosta,NA, Asparagaceae, Showy Good Cut,Hosta Chinese Sunrise, Showy Edible,NA, 100 to 200 feet, , Colorful, Low, Eastern North America,NA, Winter Interest,NA, 100 to 150 feet, Water Plant, Part shade to full shade, Heavy Shade Black Walnut, Herbaceous perennial, Medium, 3 to 8
 Hummingbirds, White to pale lilac, May to July, badja peak mint bush,NA, Lamiaceae, Showy,Prostanthera cuneata Badja Peak, Showy Edible,NA, 200 to 300 feet, , Fragrant Evergreen, Medium, Eastern North America,NA, Winter Interest,NA, 200 to 300 feet, Hedge, Full sun, Deer, Broadleaf evergreen, Medium, 8 to 10
 Butterflies, White with a purplered center, June to October, rose of Sharon,NA, Malvaceae, Showy,Hibiscus syriacus Minfren FIRST EDITIONS BALI, Showy Edible,NA, 500 to 800 feet, , Fragrant Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 400 to 700 feet, Hedge Naturalize, Full sun to part shade, Deer Drought Clay Soil Black Walnut, Deciduous shrub, Medium, 5 to 8
 Butterflies, Yellow, Seasonal bloomer, aloe,NA, Asphodelaceae, Showy,Aloe vera, Showy Edible,NA, 100 to 200 feet, , Evergreen, Low, Mediterranean,NA, Winter Interest,NA, 050 to 100 feet, Hedge Naturalize, Full sun, Drought, Herbaceous perennial, Dry, 10 to 12
 Butterflies, Reddishgreen, June to July, giant rhubarb,NA, Gunneraceae, Showy,Gunnera manicata, Showy,NA, 600 to 1000 feet, , Evergreen, Medium, Southern Brazil Colombia,NA, Winter Interest,NA, 800 to 1400 feet, Rain Garden, Part shade, Wet Soil, Herbaceous perennial, Medium to wet, 7 to 10
 Butterflies, Yellow with dark centers, September to October, fringeleaf tickseed,NA, Asteraceae, Showy,Coreopsis integrifolia, Showy,NA, 150 to 250 feet, , Evergreen, Medium, Southeastern United States,NA, Winter Interest,NA, 100 to 200 feet, Naturalize, Full sun to part shade, Wet Soil, Herbaceous perennial, Medium to wet, 5 to 9
 Butterflies, Pale purple, June to July, pale purple coneflower,NA, Asteraceae, Showy Fragrant Good Cut,Echinacea pallida, Showy,NA, 200 to 300 feet, , Evergreen, Low, Eastern and central North America,NA, Winter Interest,NA, 100 to 150 feet, Naturalize, Full sun to part shade, Deer Drought Clay Soil Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 10
 Butterflies, Pinkishwhite, April to May, garlic,NA, Amaryllidaceae, Showy,Allium sativum Music, Showy,NA, 100 to 150 feet, , Fragrant, Low, Eastern and central North America,NA, Winter Interest,NA, 050 to 075 feet, Annual Herb, Full sun, Deer Black Walnut, Bulb, Medium, 4 to 9
 Butterflies, Pink, July to September, hardy hibiscus,NA, Malvaceae, Showy,Hibiscus Anne Arundel, Showy,NA, 400 to 500 feet, , Fragrant, Low, Eastern and central North America,NA, Winter Interest,NA, 300 to 400 feet, Annual Rain Garden, Full sun, Deer Wet Soil, Herbaceous perennial, Medium to wet, 5 to 9
 Butterflies, Nonflowering, Nonflowering, royal fern,NA, Osmundaceae, Showy,Osmunda regalis Purpurascens, Showy,NA, 200 to 400 feet, , Colorful, Low, Eastern and central North America,NA, Winter Interest,NA, 200 to 400 feet, Naturalize Rain Garden, Part shade to full shade, Rabbit Heavy Shade Wet Soil, Fern, Medium to wet, 4 to 8
 Butterflies, Red, May, red horse chestnut,NA, Sapindaceae, Showy,Aesculus  carnea, Showy,NA, 3000 to 4000 feet, , Colorful, Medium, Garden origin,NA, Winter Interest,NA, 2500 to 3500 feet, Shade Tree, Full sun to part shade, Rabbit Heavy Shade Wet Soil, Tree, Medium, 5 to 8
 Butterflies, Yellow, October, ajania,NA, Asteraceae, Showy,Ajania pacifica, Showy,NA, 100 to 200 feet, , Colorful, Medium, Japan,NA, Winter Interest,NA, 100 to 300 feet, Ground Cover, Full sun to part shade, Rabbit Heavy Shade Wet Soil, Herbaceous perennial, Medium, 5 to 9
 Birds, Greenishwhite, May to June, inkberry,NA, Aquifoliaceae, Insignificant,Ilex glabra, Showy,NA, 500 to 800 feet, , Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 500 to 800 feet, Hedge Naturalize Rain Garden, Full sun to part shade, Rabbit Deer Erosion Wet Soil Air Pollution, Broadleaf evergreen, Medium to wet, 4 to 9
 Birds, White, Seasonal bloomer, begonia,NA, Begoniaceae, Showy,Begonia Curly Fireflush, Showy,NA, 125 to 150 feet, , Colorful, Medium, Eastern North America,NA, Winter Interest,NA, 175 to 200 feet, Hedge Naturalize Rain Garden, Full sun to part shade, Rabbit Deer Erosion Wet Soil Air Pollution, Herbaceous perennial, Medium, 10 to 11
 Birds, White to pinktinged, April to June, Barbaras buttons,NA, Asteraceae, Showy,Marshallia caespitosa, Showy,NA, 100 to 150 feet, , Colorful, Low, Southerncentral United States,NA, Winter Interest,NA, 050 to 100 feet, Hedge Naturalize Rain Garden, Full sun to part shade, Rabbit Deer Erosion Wet Soil Air Pollution, Herbaceous perennial, Medium, 5 to 8
 Birds, Magenta, June to July, lily of the Incas,NA, Alstroemeriaceae, Showy Good Cut,Alstroemeria Pacific Sunset Dark Pink, Showy,NA, 100 to 150 feet, , Colorful, Medium, Southerncentral United States,NA, Winter Interest,NA, 100 to 150 feet, Annual, Full sun to part shade, Rabbit Deer Erosion Wet Soil Air Pollution, Bulb, Medium, 8 to 10
 Birds, Creamy white petals and yellow cup, April, splitcorona daffodil,NA, Amaryllidaceae, Showy,Narcissus Cassata, Showy,NA, 100 to 150 feet, , Colorful, Low, Southerncentral United States,NA, Winter Interest,NA, 050 to 075 feet, Annual, Full sun to part shade, Rabbit Deer Drought, Bulb, Medium, 4 to 8
 Birds, Yelloworange, July to August, leopard plant,NA, Asteraceae, Showy,Ligularia Osiris Fantaisie, Showy,NA, 200 to 300 feet, , Colorful, Medium, Southerncentral United States,NA, Winter Interest,NA, 150 to 200 feet, Annual, Part shade to full shade, Heavy Shade, Herbaceous perennial, Medium to wet, 4 to 8
 Birds, Yellow with orangered throat stripes, Seasonal bloomer, bush allamanda,NA, Apocynaceae, Showy,Allamanda schottii, Showy,NA, 300 to 400 feet, , Evergreen, Medium, Northeastern Argentina southern Brazil,NA, Winter Interest,NA, 300 to 400 feet, Annual, Full sun, Heavy Shade, Broadleaf evergreen, Medium, 10 to 11
 Birds, Yellow with interior rusty veining, June to July, rusty foxglove,NA, Plantaginaceae, Showy,Digitalis ferruginea Gelber Herold, Showy,NA, 300 to 500 feet, , Evergreen, Low, Northeastern Argentina southern Brazil,NA, Winter Interest,NA, 100 to 150 feet, Annual, Part shade, Deer, Herbaceous perennial, Medium, 4 to 8
 Birds, Nonflowering, Nonflowering, Norway spruce,NA, Pinaceae, Showy,Picea abies Clanbrassiliana Stricta, Showy,NA, 500 to 800 feet, , Evergreen, Low, Northeastern Argentina southern Brazil,NA, Winter Interest,NA, 300 to 500 feet, Annual, Full sun, Deer Air Pollution, Needled evergreen, Medium, 3 to 7
 Birds, Yellow, July to August, mountain bush honeysuckle,NA, Caprifoliaceae, Showy,Diervilla rivularis Morton SUMMER STARS, Showy,NA, 200 to 300 feet, , Evergreen, Low, Northeastern Argentina southern Brazil,NA, Winter Interest,NA, 300 to 400 feet, Hedge, Full sun to part shade, Deer Air Pollution, Deciduous shrub, Medium, 5 to 7
 Hummingbirds, Lavender, July to August, hosta,NA, Asparagaceae, Showy,Hosta hypoleuca, Showy,NA, 100 to 200 feet, , Colorful, Low, Japan,NA, Winter Interest,NA, 300 to 400 feet, Hedge, Part shade to full shade, Heavy Shade Black Walnut, Herbaceous perennial, Medium, 5 to 7
 Hummingbirds, Yellow, June to July, plains prickly pear,NA, Cactaceae, Showy,Opuntia macrorhiza, Showy Edible,NA, 050 to 100 feet, , Colorful, Low, United States northern Mexico,NA, Winter Interest Thorns,NA, 050 to 100 feet, Ground Cover Naturalize, Full sun, Rabbit Drought, Herbaceous perennial, Dry, 3 to 9
 Hummingbirds, White, May to June, heavenly bamboo,NA, Berberidaceae, Showy,Nandina domestica Pygmaea, Showy,NA, 300 to 400 feet, , Colorful Good Fall, Medium, United States northern Mexico,NA, Winter Interest,NA, 100 to 300 feet, Ground Cover Naturalize, Full sun to part shade, Drought Heavy Shade, Broadleaf evergreen, Medium, 6 to 9
 Hummingbirds Butterflies, Creamy white, June, Japanese tree lilac,NA, Oleaceae, Showy Fragrant,Syringa reticulata, Showy,NA, 2000 to 3000 feet, , Colorful Good Fall, Low, Northern China,NA, Winter Interest,NA, 1500 to 2000 feet, Hedge Street Tree Flowering Tree, Full sun, Deer Clay Soil, Tree, Medium, 3 to 7
 Hummingbirds, Indigo blue, May to September, trailing snapdragon,NA, Plantaginaceae, Showy,Maurandya scandens Shooting Stars Blue, Showy,NA, 600 to 900 feet, , Colorful Good Fall, Medium, Northern China,NA, Winter Interest,NA, 300 to 600 feet, Annual, Full sun to part shade, Deer Clay Soil, Vine, Medium, 9 to 10
 Hummingbirds, Yellow, July to September, St Johns wort,NA, Hypericaceae, Showy,Hypericum beanii, Showy,NA, 200 to 300 feet, , Colorful Good Fall, Medium, China,NA, Winter Interest,NA, 200 to 300 feet, Ground Cover Hedge, Full sun to part shade, Drought Erosion Dry Soil, Deciduous shrub, Medium, 6 to 7
 Hummingbirds Butterflies, Purplish pink with white throat, April to May, azalea,NA, Ericaceae, Showy,Rhododendron Carrie Amanda, Showy,NA, 200 to 300 feet, , Evergreen, Medium, China,NA, Winter Interest,NA, 300 to 400 feet, Hedge, Part shade, Rabbit, Broadleaf evergreen, Medium, 5 to 8
 Hummingbirds Butterflies, Vivid red, July to September, cardinal flower,NA, Campanulaceae, Showy,Lobelia cardinalis Queen Victoria, Showy,NA, 300 to 400 feet, , Colorful, Medium, China,NA, Winter Interest,NA, 150 to 200 feet, Rain Garden, Full sun to part shade, Rabbit Deer Wet Soil, Herbaceous perennial, Medium to wet, 4 to 9
 Hummingbirds Butterflies, Creamy white, May to June, evergreen Solomons seal,NA, Asparagaceae, Showy,Disporopsis pernyi, Showy,NA, 100 to 150 feet, , Evergreen, Low, China,NA, Winter Interest,NA, 075 to 100 feet, Ground Cover Naturalize, Part shade to full shade, Heavy Shade, Herbaceous perennial, Medium, 6 to 9
 Hummingbirds Butterflies, White edged with lemon yellow, May, tall bearded reblooming iris,NA, Iridaceae, Showy,Iris Lemon Duet, Showy,NA, 250 to 300 feet, , Evergreen, Medium, China,NA, Winter Interest,NA, 100 to 200 feet, Ground Cover Naturalize, Full sun, Deer Drought, Herbaceous perennial, Medium, 3 to 10
 Hummingbirds Butterflies, White, July to August, crinum,NA, Amaryllidaceae, Showy Fragrant,Crinum jagus, Showy,NA, 200 to 300 feet, , Evergreen, Medium, Tropical Africa,NA, Winter Interest,NA, 200 to 300 feet, Ground Cover Naturalize, Full sun to part shade, Deer Drought, Bulb, Medium, 9 to 10
 Hummingbirds Butterflies, Yellow, June to July, southern bush honeysuckle,NA, Caprifoliaceae, Showy Fragrant,Diervilla sessilifolia LPDC Podaras COOL SPLASH, Showy,NA, 200 to 300 feet, , Colorful, Medium, Tropical Africa,NA, Winter Interest,NA, 200 to 300 feet, Hedge Naturalize, Full sun to part shade, Erosion, Deciduous shrub, Medium, 4 to 8
 Hummingbirds Butterflies, Greenishwhite, May, American holly,NA, Aquifoliaceae, Insignificant,Ilex opaca Jersey Knight, Showy,NA, 2000 to 3000 feet, , Evergreen, Low, Tropical Africa,NA, Winter Interest,NA, 800 to 2000 feet, Hedge Naturalize, Full sun to part shade, Deer Clay Soil Air Pollution, Broadleaf evergreen, Medium, 5 to 9
 Butterflies, Yelloworange, May to July, butterfly bush,NA, Scrophulariaceae, Showy Fragrant,Buddleja  weyeriana Golden Glow, Showy,NA, 500 to 1500 feet, , Evergreen, High, Tropical Africa,NA, Winter Interest,NA, 500 to 1000 feet, Hedge Naturalize, Full sun, Clay Soil, Deciduous shrub, Medium, 6 to 9
 Butterflies, Yelloworange, July to August, leopard plant,NA, Asteraceae, Showy,Ligularia dentata Othello, Showy,NA, 200 to 300 feet, , Colorful, Medium, Tropical Africa,NA, Winter Interest,NA, 150 to 250 feet, Rain Garden, Part shade to full shade, Heavy Shade Wet Soil, Herbaceous perennial, Medium to wet, 3 to 8
 Butterflies, Purple, April to May, Chinese ground orchid,NA, Orchidaceae, Showy,Bletilla striata Albostriata, Showy,NA, 100 to 150 feet, , Colorful, Medium, Tropical Africa,NA, Winter Interest,NA, 050 to 075 feet, Rain Garden, Part shade, Heavy Shade Wet Soil, Herbaceous perennial, Medium, 5 to 9
 Butterflies, Claret red to dark purple, May to September, loosestrife,NA, Primulaceae, Showy,Lysimachia atropurpurea Beaujolais, Showy,NA, 100 to 150 feet, , Colorful, Low, Tropical Africa,NA, Winter Interest,NA, 075 to 100 feet, Rain Garden, Full sun to part shade, Wet Soil, Herbaceous perennial, Medium to wet, 4 to 8
 Birds Butterflies, Golden yellow with a dark brown central cone, June to July, large coneflower,NA, Asteraceae, Showy Good Cut Good Dried,Rudbeckia maxima Golda Emanis, Showy,NA, 500 to 700 feet, , Colorful, Low, Tropical Africa,NA, Winter Interest,NA, 150 to 250 feet, Rain Garden, Full sun, Deer Drought, Herbaceous perennial, Dry to medium, 4 to 9
 Birds Butterflies, Golden yellow with a dark brown central cone, Nonflowering, Japanese cedar,NA, Cupressaceae, Showy Good Cut Good Dried,Cryptomeria japonica Radicans, Showy,NA, 3000 to 4000 feet, , Evergreen, Low, Tropical Africa,NA, Winter Interest,NA, 1500 to 2000 feet, Rain Garden, Full sun, Clay Soil, Needled evergreen, Medium, 5 to 8
 Birds Butterflies, Pastel yellow with lavender edges, May to September, violet,NA, Violaceae, Showy,Viola Etain, Showy,NA, 050 to 075 feet, , Evergreen, Low, Tropical Africa,NA, Winter Interest,NA, 050 to 100 feet, Ground Cover Naturalize, Part shade to full shade, Deer Heavy Shade, Herbaceous perennial, Medium, 4 to 8
 Birds Butterflies, Pink, May to June, red campion,NA, Caryophyllaceae, Showy,Silene dioica Clifford Moor, Showy,NA, 100 to 150 feet, , Colorful, Medium, Tropical Africa,NA, Winter Interest,NA, 075 to 100 feet, Ground Cover Naturalize, Full sun to part shade, Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 5 to 8
 Birds Butterflies, Greenish, April to May, sweet gum,NA, Altingiaceae, Insignificant,Liquidambar styraciflua Rotundiloba, Showy,NA, 6000 to 7000 feet, , Good Fall, Low, Tropical Africa,NA, Winter Interest,NA, 2000 to 3000 feet, Shade Tree Street Tree, Full sun, Rabbit Deer Clay Soil, Tree, Medium, 5 to 9
 Butterflies, Pink with red eye, July to September, hardy hibiscus,NA, Malvaceae, Showy,Hibiscus moscheutos Disco Belle Pink, Showy,NA, 200 to 250 feet, , Good Fall, Low, Tropical Africa,NA, Winter Interest,NA, 150 to 200 feet, Annual Rain Garden, Full sun, Deer Wet Soil, Herbaceous perennial, Medium to wet, 4 to 9
